('AS', 'J', 99, [208, 215], [204, 116])
('J', 'T', 25, [204, 116], [227, 105])
('T', 'AS', 111, [227, 105], [208, 215])
('M', 'AS', 49, [159, 212], [208, 215])
('AS', 'AD', 79, [208, 215], [138, 252])
('AD', 'M', 45, [138, 252], [159, 212])
('AY', 'AI', 24, [33, 202], [56, 195])
('AI', 'AD', 99, [56, 195], [138, 252])
('AD', 'AY', 116, [138, 252], [33, 202])
('O', 'J', 34, [181, 142], [204, 116])
('AS', 'O', 77, [208, 215], [181, 142])
('AJ', 'AV', 18, [172, 57], [176, 75])
('AV', 'K', 32, [176, 75], [145, 84])
('K', 'AJ', 38, [145, 84], [172, 57])
('AA', 'AJ', 27, [145, 54], [172, 57])
('K', 'AA', 30, [145, 84], [145, 54])
('AK', 'M', 60, [110, 176], [159, 212])
('AI', 'AK', 57, [56, 195], [110, 176])
('M', 'AN', 47, [159, 212], [163, 165])
('AN', 'AS', 67, [163, 165], [208, 215])
('AN', 'O', 29, [163, 165], [181, 142])
('AL', 'N', 53, [77, 80], [67, 27])
('N', 'S', 17, [67, 27], [84, 31])
('S', 'AL', 49, [84, 31], [77, 80])
('AW', 'N', 47, [107, 1], [67, 27])
('N', 'AX', 66, [67, 27], [1, 19])
('AX', 'AW', 107, [1, 19], [107, 1])
('AW', 'S', 37, [107, 1], [84, 31])
('G', 'X', 28, [199, 81], [226, 72])
('AW', 'D', 26, [107, 1], [132, 9])
('D', 'S', 52, [132, 9], [84, 31])
('D', 'AA', 46, [132, 9], [145, 54])
('AA', 'S', 65, [145, 54], [84, 31])
('AW', 'H', 65, [107, 1], [172, 1])
('H', 'D', 40, [172, 1], [132, 9])
('Y', 'C', 26, [98, 75], [94, 101])
('C', 'AL', 27, [94, 101], [77, 80])
('AL', 'Y', 21, [77, 80], [98, 75])
('S', 'Y', 46, [84, 31], [98, 75])
('AA', 'Y', 51, [145, 54], [98, 75])
('A', 'B', 24, [92, 145], [95, 121])
('C', 'I', 32, [94, 101], [108, 130])
('B', 'C', 20, [95, 121], [94, 101])
('AK', 'U', 16, [110, 176], [122, 165])
('U', 'M', 59, [122, 165], [159, 212])
('AN', 'U', 41, [163, 165], [122, 165])
('U', 'AQ', 19, [122, 165], [140, 157])
('AQ', 'AN', 24, [140, 157], [163, 165])
('AU', 'AK', 26, [89, 160], [110, 176])
('AI', 'AU', 48, [56, 195], [89, 160])
('AV', 'AF', 19, [176, 75], [163, 90])
('AF', 'K', 18, [163, 90], [145, 84])
('AT', 'AP', 35, [30, 84], [58, 105])
('AP', 'AR', 51, [58, 105], [7, 103])
('AR', 'AT', 29, [7, 103], [30, 84])
('AT', 'AL', 47, [30, 84], [77, 80])
('AL', 'AP', 31, [77, 80], [58, 105])
('W', 'C', 19, [76, 108], [94, 101])
('B', 'W', 23, [95, 121], [76, 108])
('W', 'AP', 18, [76, 108], [58, 105])
('AL', 'W', 28, [77, 80], [76, 108])
('X', 'R', 36, [226, 72], [196, 52])
('R', 'AH', 20, [196, 52], [208, 36])
('AH', 'X', 40, [208, 36], [226, 72])
('G', 'R', 29, [199, 81], [196, 52])
('R', 'H', 56, [196, 52], [172, 1])
('H', 'AH', 50, [172, 1], [208, 36])
('R', 'AJ', 24, [196, 52], [172, 57])
('AJ', 'H', 56, [172, 57], [172, 1])
('R', 'AV', 30, [196, 52], [176, 75])
('G', 'AV', 23, [199, 81], [176, 75])
('AG', 'D', 22, [150, 23], [132, 9])
('H', 'AG', 31, [172, 1], [150, 23])
('AG', 'AA', 31, [150, 23], [145, 54])
('AJ', 'AG', 40, [172, 57], [150, 23])
('E', 'AA', 37, [123, 84], [145, 54])
('K', 'E', 22, [145, 84], [123, 84])
('E', 'Y', 26, [123, 84], [98, 75])
('E', 'C', 33, [123, 84], [94, 101])
('AB', 'AN', 36, [137, 140], [163, 165])
('U', 'AB', 29, [122, 165], [137, 140])
('AB', 'O', 44, [137, 140], [181, 142])
('AB', 'P', 29, [137, 140], [159, 121])
('P', 'O', 30, [159, 121], [181, 142])
('I', 'AE', 16, [108, 130], [108, 146])
('AE', 'A', 16, [108, 146], [92, 145])
('AE', 'AU', 23, [108, 146], [89, 160])
('AU', 'A', 15, [89, 160], [92, 145])
('AE', 'AB', 29, [108, 146], [137, 140])
('U', 'AE', 23, [122, 165], [108, 146])
('AK', 'AE', 30, [110, 176], [108, 146])
('AU', 'AC', 38, [89, 160], [55, 142])
('AC', 'A', 37, [55, 142], [92, 145])
('W', 'AC', 39, [76, 108], [55, 142])
('AC', 'AP', 37, [55, 142], [58, 105])
('AI', 'AC', 53, [56, 195], [55, 142])
('AC', 'B', 45, [55, 142], [95, 121])
('AC', 'AR', 61, [55, 142], [7, 103])
('AC', 'AY', 63, [55, 142], [33, 202])
('AY', 'AR', 102, [33, 202], [7, 103])
('O', 'AO', 36, [181, 142], [169, 108])
('AO', 'J', 35, [169, 108], [204, 116])
('P', 'AO', 16, [159, 121], [169, 108])
('F', 'N', 18, [49, 32], [67, 27])
('AL', 'F', 55, [77, 80], [49, 32])
('AT', 'F', 55, [30, 84], [49, 32])
('AM', 'AT', 27, [4, 76], [30, 84])
('AR', 'AM', 27, [7, 103], [4, 76])
('F', 'AM', 62, [49, 32], [4, 76])
('AM', 'AX', 57, [4, 76], [1, 19])
('Q', 'I', 19, [127, 124], [108, 130])
('C', 'Q', 40, [94, 101], [127, 124])
('E', 'Q', 40, [123, 84], [127, 124])
('Q', 'AE', 29, [127, 124], [108, 146])
('Q', 'AB', 18, [127, 124], [137, 140])
('Q', 'P', 32, [127, 124], [159, 121])
('AO', 'V', 25, [169, 108], [191, 96])
('V', 'J', 23, [191, 96], [204, 116])
('V', 'T', 37, [191, 96], [227, 105])
('V', 'G', 17, [191, 96], [199, 81])
('V', 'AV', 25, [191, 96], [176, 75])
('AO', 'AF', 18, [169, 108], [163, 90])
('L', 'E', 30, [150, 99], [123, 84])
('K', 'L', 15, [145, 84], [150, 99])
('L', 'Q', 33, [150, 99], [127, 124])
('L', 'P', 23, [150, 99], [159, 121])
('AF', 'L', 15, [163, 90], [150, 99])
('L', 'AO', 21, [150, 99], [169, 108])
